127.0.0.1 - - [29/Apr/2021:20:11:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/images/logo/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/images/pet/pet_2.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/ HTTP/1.1" 200 22905
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/images/product/product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/images/section/section_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/images/section/section_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:27 +0900] "GET /SemiProject/resources/images/section/section_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:29 +0900] "GET /SemiProject/semi.do?command=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:29 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 11163
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:29 +0900] "GET /SemiProject/resources/js/naverLogin_implicit-1.0.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:29 +0900] "GET /SemiProject/resources/images/naverlogin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:41 +0900] "POST /SemiProject/semi.do HTTP/1.1" 500 11514
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:51 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22905
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:51 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:51 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:53 +0900] "GET /SemiProject/semi.do?command=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:11:53 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 11163
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:00 +0900] "POST /SemiProject/semi.do HTTP/1.1" 500 11514
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:35 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 11163
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:45 +0900] "POST /SemiProject/semi.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:47 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22964
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:47 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:47 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:52 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:54 +0900] "GET /SemiProject/semi.do?command=lost_insertform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:54 +0900] "GET /SemiProject/lost_insertform.jsp HTTP/1.1" 200 9055
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:54 +0900] "GET /SemiProject/ckeditor/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/config.js?t=L0QD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/lang/ko.js?t=L0QD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/skins/moono-lisa/editor.css?t=L0QD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/styles.js?t=L0QD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css?t=L0QD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/plugins/tableselection/styles/tableselection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/plugins/scayt/dialogs/dialog.css?t=L0QD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:12:55 +0900] "GET /SemiProject/ckeditor/plugins/dialog/styles/dialog.css HTTP/1.1" 304 -
