127.0.0.1 - - [03/May/2021:17:44:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:39 +0900] "GET /SemiProject/ HTTP/1.1" 200 22613
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:40 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:40 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:41 +0900] "GET /SemiProject/semi.do?command=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:41 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 11303
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:50 +0900] "POST /SemiProject/semi.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:51 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22767
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:51 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:51 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:55 +0900] "GET /SemiProject/semi.do?command=mypage&member_id=test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:55 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 24213
0:0:0:0:0:0:0:1 - - [03/May/2021:17:44:59 +0900] "GET /SemiProject/popup_r_check.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/May/2021:17:50:29 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 24586
0:0:0:0:0:0:0:1 - - [03/May/2021:17:50:30 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:17:55:33 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 31857
0:0:0:0:0:0:0:1 - - [03/May/2021:17:55:33 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
